DateRange,Net Power (MW),flow
20.05.2025 00:45 - 20.05.2025 01:00,0.0,0.0
20.05.2025 01:00 - 20.05.2025 01:15,3.9473684,0.94
20.05.2025 01:15 - 20.05.2025 01:30,3.9473684,0.94
20.05.2025 01:30 - 20.05.2025 01:45,3.9473684,0.94
20.05.2025 01:45 - 20.05.2025 02:00,3.9473684,0.94
20.05.2025 02:00 - 20.05.2025 02:15,25.0,5.94
20.05.2025 02:15 - 20.05.2025 02:30,25.0,5.94
20.05.2025 02:30 - 20.05.2025 02:45,25.0,5.94
20.05.2025 02:45 - 20.05.2025 03:00,25.0,5.94
20.05.2025 03:00 - 20.05.2025 03:15,25.0,5.94
20.05.2025 03:15 - 20.05.2025 03:30,25.0,5.94
20.05.2025 03:30 - 20.05.2025 03:45,25.0,5.94
20.05.2025 03:45 - 20.05.2025 04:00,25.0,5.94
20.05.2025 04:00 - 20.05.2025 04:15,25.0,5.94
20.05.2025 04:15 - 20.05.2025 04:30,25.0,5.94
20.05.2025 04:30 - 20.05.2025 04:45,25.0,5.94
20.05.2025 04:45 - 20.05.2025 05:00,25.0,5.94
20.05.2025 05:00 - 20.05.2025 05:15,0.0,0.0
20.05.2025 05:15 - 20.05.2025 05:30,0.0,0.0
20.05.2025 05:30 - 20.05.2025 05:45,0.0,0.0
20.05.2025 05:45 - 20.05.2025 06:00,0.0,0.0
20.05.2025 06:00 - 20.05.2025 06:15,-23.75,-6.25
20.05.2025 06:15 - 20.05.2025 06:30,-23.75,-6.25
20.05.2025 06:30 - 20.05.2025 06:45,-23.75,-6.25
20.05.2025 06:45 - 20.05.2025 07:00,-23.75,-6.25
20.05.2025 07:00 - 20.05.2025 07:15,-23.75,-6.25
20.05.2025 07:15 - 20.05.2025 07:30,-23.75,-6.25
20.05.2025 07:30 - 20.05.2025 07:45,-23.75,-6.25
20.05.2025 07:45 - 20.05.2025 08:00,-23.75,-6.25
20.05.2025 08:00 - 20.05.2025 08:15,-23.75,-6.25
20.05.2025 08:15 - 20.05.2025 08:30,-23.75,-6.25
20.05.2025 08:30 - 20.05.2025 08:45,-23.75,-6.25
20.05.2025 08:45 - 20.05.2025 09:00,-23.75,-6.25
20.05.2025 09:00 - 20.05.2025 09:15,0.0,0.0
20.05.2025 09:15 - 20.05.2025 09:30,0.0,0.0
20.05.2025 09:30 - 20.05.2025 09:45,0.0,0.0
20.05.2025 09:45 - 20.05.2025 10:00,0.0,0.0
20.05.2025 10:00 - 20.05.2025 10:15,25.0,5.94
20.05.2025 10:15 - 20.05.2025 10:30,25.0,5.94
20.05.2025 10:30 - 20.05.2025 10:45,25.0,5.94
20.05.2025 10:45 - 20.05.2025 11:00,25.0,5.94
20.05.2025 11:00 - 20.05.2025 11:15,25.0,5.94
20.05.2025 11:15 - 20.05.2025 11:30,25.0,5.94
20.05.2025 11:30 - 20.05.2025 11:45,25.0,5.94
20.05.2025 11:45 - 20.05.2025 12:00,25.0,5.94
20.05.2025 12:00 - 20.05.2025 12:15,25.0,5.94
20.05.2025 12:15 - 20.05.2025 12:30,25.0,5.94
20.05.2025 12:30 - 20.05.2025 12:45,25.0,5.94
20.05.2025 12:45 - 20.05.2025 13:00,25.0,5.94
20.05.2025 13:15 - 20.05.2025 13:45,25.0,5.94
